Folds number,Fold,Random State,Dropout probability,Activation function,Learning Rate,Epochs,Layers number,Hidden Size,RMSE
5,1,100,0.5,ReLU,0.02,150,2,16,5.586279
5,1,100,0.5,Tanh,0.02,150,2,16,16.8308
5,1,100,0.5,Sigmoid,0.02,150,2,16,17.94145
5,1,100,0.5,Softmax,0.02,150,2,16,34.69681
5,1,100,0.5,GELU,0.02,150,2,16,6.4068556
5,1,100,0.5,ReLU,0.02,150,3,16,11.5737705
5,1,100,0.5,Tanh,0.02,150,3,16,16.784136
5,1,100,0.5,Sigmoid,0.02,150,3,16,18.086914
5,1,100,0.5,Softmax,0.02,150,3,16,34.736275
5,1,100,0.5,GELU,0.02,150,3,16,7.0296793
5,1,100,0.5,ReLU,0.02,150,4,16,13.223985
5,1,100,0.5,Tanh,0.02,150,4,16,16.830956
5,1,100,0.5,Sigmoid,0.02,150,4,16,18.093979
5,1,100,0.5,Softmax,0.02,150,4,16,34.861614
5,1,100,0.5,GELU,0.02,150,4,16,9.870119
5,1,100,0.5,ReLU,0.02,150,1,32,2.6540313
5,1,100,0.5,Tanh,0.02,150,1,32,11.789525
5,1,100,0.5,Sigmoid,0.02,150,1,32,13.961229
5,1,100,0.5,Softmax,0.02,150,1,32,34.64306
5,1,100,0.5,GELU,0.02,150,1,32,2.068329
5,1,100,0.5,ReLU,0.02,150,2,32,2.5708168
5,1,100,0.5,Tanh,0.02,150,2,32,10.768031
5,1,100,0.5,Sigmoid,0.02,150,2,32,16.7465
5,1,100,0.5,Softmax,0.02,150,2,32,34.56788
5,1,100,0.5,GELU,0.02,150,2,32,3.721739
5,1,100,0.5,ReLU,0.02,150,3,32,7.042462
5,1,100,0.5,Tanh,0.02,150,3,32,21.829206
5,1,100,0.5,Sigmoid,0.02,150,3,32,16.745413
5,1,100,0.5,Softmax,0.02,150,3,32,34.73541
5,1,100,0.5,GELU,0.02,150,3,32,5.2967014
5,1,100,0.5,ReLU,0.02,150,4,32,9.977307
5,1,100,0.5,Tanh,0.02,150,4,32,21.740263
5,1,100,0.5,Sigmoid,0.02,150,4,32,16.74771
5,1,100,0.5,Softmax,0.02,150,4,32,34.539803
5,1,100,0.5,GELU,0.02,150,4,32,4.05812
5,1,100,0.5,ReLU,0.02,150,1,64,1.6618268
5,1,100,0.5,Tanh,0.02,150,1,64,17.908905
5,1,100,0.5,Sigmoid,0.02,150,1,64,15.99558
5,1,100,0.5,Softmax,0.02,150,1,64,34.666748
5,1,100,0.5,GELU,0.02,150,1,64,1.1784282
5,1,100,0.5,ReLU,0.02,150,2,64,3.557128
5,1,100,0.5,Tanh,0.02,150,2,64,14.95823
5,1,100,0.5,Sigmoid,0.02,150,2,64,16.617859
5,1,100,0.5,Softmax,0.02,150,2,64,34.598946
